student_id,name,grade_level,attendance_rate_last_month,attendance_rate_last_3_months,avg_assignment_score,test_score_math,test_score_english,final_exam_score_last_term,quiz_participation_rate,total_logins_per_week,class_participation_level,homework_submission_rate,disciplinary_actions,parent_occupation,family_income_bracket,number_of_siblings,distance_from_school_km,has_learning_device,dropout_label
S001,Justin Michael,9,85.87,85.94,72.25,78.35,77.18,71.34,57.59,3,Medium,62.94,0,Teacher,Medium,2,2.94,True,1
S002,Daniel Freeman,10,82.01,89.28,63.1,66.85,72.84,79.31,83.13,10,High,49.47,1,Business,High,0,4.92,True,0
S003,Anthony Payne,10,85.92,84.6,70.97,98.12,100.0,48.66,78.09,4,Low,65.55,2,Farmer,Low,2,3.36,True,0
S004,Amy Jones,9,65.12,78.72,60.18,46.91,77.47,80.98,64.81,5,Medium,32.76,0,Worker,Medium,1,2.57,True,0
S005,James Mcdaniel,8,82.8,85.93,70.48,51.74,67.8,72.68,73.46,3,Medium,48.29,0,Other,Medium,1,20.0,False,0
S006,Rachel Giles,8,88.57,84.28,77.69,57.08,59.6,62.39,59.57,2,Low,66.17,0,Worker,Medium,1,10.61,False,0
S007,Zachary Hull,8,99.78,94.43,90.29,37.58,55.16,79.06,74.58,4,Medium,62.96,0,Doctor,High,1,4.88,True,0
S008,Jennifer Barber,10,79.82,82.23,56.07,55.56,70.89,96.69,68.75,7,Medium,55.25,0,Farmer,Low,0,4.21,True,0
S009,Jason Carr,10,76.92,75.8,88.91,51.19,58.5,67.6,49.31,5,Medium,48.21,0,Teacher,High,5,4.85,True,1
S010,Matthew Buchanan,10,79.98,83.55,48.97,65.75,51.43,70.79,71.11,10,Medium,51.88,1,Farmer,Medium,0,1.12,True,0
S011,Stephen Peterson,8,94.15,96.52,71.23,72.87,64.99,65.48,72.92,4,Medium,62.23,0,Worker,Medium,1,2.51,True,0
S012,Michael Schmidt,10,88.29,87.93,76.87,94.13,58.01,57.83,66.88,2,Low,54.74,0,Other,Low,0,0.5,True,0
S013,Kari Thomas,10,79.7,75.47,71.22,77.67,88.66,75.94,70.87,2,Medium,58.81,1,Farmer,Medium,4,3.23,False,0
S014,Rachel Rojas,8,90.13,82.56,65.31,57.89,82.12,56.14,76.55,1,High,56.81,0,Worker,Low,2,3.92,False,0
S015,Cassandra Olson,8,85.97,83.74,68.21,51.81,70.2,68.55,65.17,3,Medium,60.34,0,Farmer,Low,0,1.29,False,0
S016,Mr. Jacob Wallace,8,94.69,98.97,67.98,75.29,90.67,65.98,87.35,2,High,59.0,0,Worker,Low,5,16.63,False,0
S017,Maria Davis,9,77.98,79.05,62.0,43.09,68.82,72.44,51.57,3,High,39.24,1,Teacher,Medium,1,12.01,True,0
S018,Margaret Bowen,9,81.72,75.49,77.51,91.49,58.68,69.48,71.54,8,Medium,66.33,0,Other,Medium,2,6.4,True,0
S019,Brian Li,9,81.08,81.95,72.39,81.52,87.1,80.57,70.8,6,Low,61.75,0,Worker,Medium,3,3.81,True,0
S020,Jonathan Moore,8,70.36,72.29,58.68,53.57,72.07,57.56,53.19,8,Medium,72.14,0,Teacher,High,2,10.2,True,0
